"n","B","j","proj_lambda","psi_proj","se_proj_np","lower_proj_np","upper_proj_np","s0","s0.1","s0.2","lambda.min","lambda.min.1","lambda.min.2","se_proj_delta","lower_proj_delta","upper_proj_delta"
500,1,1,0.0620869101381736,1.74659232109945,0.33680597698529,1.08645260620828,2.40673203599062,0.247810055671802,1.26088461198272,2.23230003021618,0.246901694008686,1.26266500084243,2.23051964135648,0.0936789851053104,1.56298151029304,1.93020313190586
500,1,2,0.0408490409962332,1.77992988630602,0.335220616548779,1.12289747787042,2.43696229474163,0.249793842417021,1.29033395516866,2.26952581744338,0.243674037947754,1.30232877192843,2.25753100068362,0.0943819347546359,1.59494129418694,1.96491847842511
500,2,1,0.0390347006342613,1.40842026592039,0.168057529277772,1.07902750853595,1.73781302330482,0.130263018479932,1.15310474969972,1.66373578214105,0.120278519045756,1.1726743685907,1.64416616325007,0.113857961525147,1.1852586613311,1.63158187050967
500,2,2,0.0256822264618424,1.39229494680504,0.163578077306515,1.07168191528427,1.7129079783258,0.134777661827449,1.12813072962323,1.65645916398684,0.115068425591993,1.16676083264473,1.61782906096534,0.124117314647812,1.14902501009532,1.63556488351475
500,3,1,0.0656909237651248,1.87057281137778,0.235093024533102,1.4097904832929,2.33135513946266,0.174398029206608,1.52875267413283,2.21239294862273,0.102366006838582,1.66993543797416,2.0712101847814,0.092168899337223,1.68992176867682,2.05122385407874
500,3,2,0.043220241303523,1.87353995232892,0.235406400820047,1.41214340672163,2.33493649793621,0.179910026924943,1.52091629955603,2.22616360510181,0.104105149755031,1.66949385880906,2.07758604584878,0.094237473209803,1.68883450483771,2.05824539982013
500,4,1,0.102558973316046,1.69164310223216,0.202978398123562,1.29380544190998,2.08948076255434,0.127214466550471,1.44230274779324,1.94098345667108,0.113279204893028,1.46961586064183,1.91367034382249,0.077875791842688,1.53900655022049,1.84427965424383
500,4,2,0.067476956031396,1.66193915329821,0.205800642960337,1.25856989309595,2.06530841350047,0.128059976285117,1.41094159977938,1.91293670681704,0.111135250482387,1.44411406235273,1.87976424424369,0.0850205056069822,1.49529896230853,1.8285793442879
500,5,1,0.042750037139694,1.5196926767923,0.343555753776793,0.846323399389791,2.19306195419482,0.177992845432007,1.17082669974557,1.86855865383904,0.114430733640279,1.29540843885736,1.74397691472725,0.0962933224614714,1.33095776476782,1.70842758881679
500,5,2,0.0281266697895497,1.44452461277487,0.319600322255448,0.818107981154191,2.07094124439555,0.16959783035533,1.11211286527842,1.77693636027132,0.103022230016319,1.24260104194288,1.64644818360685,0.0991639369038347,1.25016329644335,1.63888592910639
500,6,1,0.0449981380618856,1.74921072328571,0.42822962848334,0.909880651458361,2.58854079511305,0.346491948505737,1.07008650421446,2.42833494235695,0.331255189957151,1.09995055096969,2.39847089560172,0.0960966566500645,1.56086127625158,1.93756017031983
500,6,2,0.0296057700786428,1.76642015768548,0.420124498329023,0.942976140960589,2.58986417441036,0.344458856908155,1.09128079814549,2.44155951722546,0.326585179321762,1.12631320621482,2.40652710915613,0.0988868565587489,1.57260191883033,1.96023839654062
500,7,1,0.0262040016899126,1.26058831958756,0.246298809483635,0.777842652999635,1.74333398617549,0.181526397095737,0.904796581279916,1.6163800578952,0.18115028927664,0.905533752605346,1.61564288656977,0.0930558435533135,1.07819886622307,1.44297777295205
500,7,2,0.0250129893714702,1.23117429903871,0.243107683764551,0.75468323886019,1.70766535921723,0.181302197909193,0.875821991136692,1.58652660694073,0.176456166787083,0.885320212136027,1.57702838594139,0.0942570947546616,1.04643039331957,1.41591820475785
500,8,1,0.0636760026278,1.65928761978158,0.309282674999654,1.05309357678226,2.2654816627809,0.159520300481576,1.34662783083769,1.97194740872547,0.0988699249933001,1.46550256679471,1.85307267276845,0.0866761550400309,1.48940235590312,1.82917288366004
500,8,2,0.0418945577422123,1.69155427087847,0.312526460349642,1.07900240859317,2.30410613316377,0.167674542202837,1.36291216816091,2.02019637359603,0.162015253139805,1.37400437472445,2.00910416703249,0.0885885782939217,1.51792065742238,1.86518788433455
