"n","B","j","relax_lambda","proj_lambda","delta_lambda","psi_relax","psi_proj","psi_delta","se_relax_np","se_proj_np","se_delta_np","lower_relax_np","upper_relax_np","lower_proj_np","upper_proj_np","lower_delta_np","upper_delta_np","s0","s0.1","s0.2","s0.3","s0.4","s0.5","s0.6","s0.7","s0.8","lambda.min","lambda.min.1","lambda.min.2","lambda.min.3","lambda.min.4","lambda.min.5","lambda.min.6","lambda.min.7","lambda.min.8","se_relax_delta","se_proj_delta","se_delta_delta","lower_relax_delta","upper_relax_delta","lower_proj_delta","upper_proj_delta","lower_delta_delta","upper_delta_delta"
2000,31,10,0.0057295128143998,0.0057295128143998,0.0057295128143998,1.62089308995783,1.58486280447251,1.52225576885253,0.0891862189492515,0.0973092319910451,0.100524357030457,1.4460881008173,1.79569807909836,1.39413670977006,1.77558889917496,1.32522802907283,1.71928350863223,0.0681093719578725,0.0744320248746539,0.0748532515420902,1.4873987209204,1.75438745899526,1.43897603571819,1.73074957322683,1.37554339583003,1.66896814187503,0.0640681992525346,0.0592187574923251,0.069064642027836,1.49531941942286,1.7464667604928,1.46879403978756,1.70093156915747,1.38688907047797,1.65762246722709,0.103729978079954,0.103586716613177,0.103512700761022,1.41758233292112,1.82420384699454,1.38183283991069,1.78789276903434,1.31937087536093,1.72514066234413
2000,31,11,0.00522051868716754,0.00522051868716754,0.00522051868716754,1.6375164206253,1.58440319157783,1.56870802389982,0.0885425625617612,0.0972828241635367,0.100043933728458,1.46397299800425,1.81105984324635,1.39372885621729,1.77507752693836,1.37262191379205,1.7647941340076,0.0670159313034496,0.0744538044907346,0.0745733073324456,1.50616519527054,1.76886764598006,1.43847373477599,1.73033264837967,1.42254434152823,1.71487170627142,0.0627697675020812,0.0705380819367959,0.0672865583728711,1.51448767632122,1.76054516492938,1.44614855098171,1.72265783217395,1.436826369489,1.70058967831065,0.106870734332798,0.103785470457845,0.104883496492725,1.42804978133301,1.84698305991758,1.38098366948045,1.7878227136752,1.36313637077408,1.77427967702557
2000,31,12,0.00475674219535199,0.00475674219535199,0.00475674219535199,1.63178904599542,1.58438598463343,1.56863206901491,0.0893937816316566,0.097281479681608,0.10005186419411,1.45657723399737,1.80700085799346,1.39371428445748,1.77505768480938,1.37253041519445,1.76473372283536,0.0672871103830713,0.0744883649703082,0.0745999789801976,1.4999063096446,1.76367178234624,1.43838878929163,1.73038317997524,1.42241611021372,1.71484802781609,0.0637057531022382,0.0690383764189621,0.0687805397857582,1.50692576991503,1.7566523220758,1.44907076685227,1.7197012024146,1.43382221103482,1.70344192699499,0.104802285206648,0.103860049951708,0.104942172506614,1.42637656699039,1.83720152500045,1.38082028672809,1.78795168253878,1.36294541090194,1.77431872712787
2000,31,13,0.00433416632884776,0.00433416632884776,0.00433416632884776,1.60730362351881,1.58501756185387,1.55755384075897,0.0902560237467967,0.0976892398517473,0.100154013422098,1.43040181697509,1.78420543006253,1.39354665174444,1.77648847196329,1.36125197445165,1.75385570706628,0.0694651214439883,0.0754772454562763,0.0751451956578106,1.47115198548859,1.74345526154903,1.43708216075956,1.73295296294817,1.41026925726966,1.70483842424828,0.066500677525399,0.0674476897083405,0.0673720303494568,1.47696229556903,1.73764495146859,1.45282009002552,1.71721503368221,1.42550466127403,1.6896030202439,0.10203362335978,0.104276465813732,0.105123743309527,1.40731772173364,1.80728952530398,1.38063568885895,1.78939943484878,1.35151130387229,1.76359637764564
2000,31,14,0.00394913093765588,0.00394913093765588,0.00394913093765588,1.61308224591695,1.58493805098386,1.55205746364188,0.0907726218124321,0.0977021373694768,0.100185620660195,1.43516790716458,1.79099658466931,1.39344186173968,1.77643424022803,1.3556936471479,1.74842128013587,0.0699535867114925,0.075548139804644,0.0752094307730022,1.47597321596242,1.75019127587147,1.43686369696676,1.73301240500096,1.4046469793268,1.69946794795697,0.065237520266275,0.0686780156623305,0.067029155361646,1.48521670619505,1.74094778563885,1.45032914028569,1.71954696168203,1.42068031913306,1.68343460815071,0.101947320257174,0.104471408828402,0.105188885223582,1.41326549821289,1.81289899362101,1.38017408968019,1.78970201228753,1.34588724860366,1.7582276786801
2000,31,15,0.00359830102941547,0.00359830102941547,0.00359830102941547,1.59940348929242,1.58606864758781,1.54076863515176,0.091589123593342,0.0977660401863632,0.100321625222694,1.41988880704947,1.77891817153537,1.39444720882254,1.77769008635308,1.34413824971528,1.73739902058825,0.0707723786756699,0.0756599122765114,0.0753629651743067,1.46068962708811,1.73811735149673,1.43777521952585,1.73436207564977,1.39305722341012,1.68848004689341,0.065996115313263,0.0679917736738966,0.0675347514175496,1.47005110327842,1.72875587530641,1.45280477118697,1.71933252398865,1.40840052237337,1.67313674793016,0.0996556736857525,0.104992680994985,0.105382183525643,1.40407836886834,1.79472860971649,1.38028299283764,1.79185430233798,1.3342195554415,1.74731771486203
2000,31,16,0.00327863788329541,0.00327863788329541,0.00327863788329541,1.6058437633975,1.58624548048901,1.53010349627621,0.0920923267058292,0.0977370670645891,0.100448530657544,1.42534280305407,1.78634472374092,1.39468082904241,1.7778101319356,1.33322437618742,1.726982616365,0.0709902221452629,0.0757129524620579,0.0755229155278256,1.46670292799278,1.74498459880221,1.43784809366337,1.73464286731464,1.38207858184167,1.67812841071075,0.063774672543575,0.0679791017259761,0.0695470953974067,1.48084540521209,1.7308421215829,1.45300644110609,1.71948451987192,1.39379118929729,1.66641580325513,0.0996389418714418,0.105114180312682,0.105220326045026,1.41055143732947,1.80113608946552,1.38022168707615,1.79226927390186,1.32387165722796,1.73633533532446
2000,31,17,0.0029873727300481,0.0029873727300481,0.0029873727300481,1.59069255177651,1.58591300327391,1.52967455036211,0.093553347958027,0.097733906843803,0.100456629519313,1.40732798977878,1.77405711377425,1.39435454586005,1.77747146068776,1.33277955650426,1.72656954421997,0.0723639707682389,0.0757250648683206,0.075549535984144,1.44885916907077,1.73252593448226,1.437491876132,1.73433413041581,1.38159745983319,1.67775164089104,0.0687181765319121,0.0680032030549008,0.0680055551845077,1.45600492577397,1.72538017777906,1.4526267252863,1.71919928126151,1.39638366220048,1.66296543852375,0.100482895629416,0.105475185928402,0.105580360314085,1.39374607634286,1.78763902721017,1.37918163885424,1.79264436769357,1.32273704414651,1.73661205657772
2000,31,18,0.00272198277025488,0.00272198277025488,0.00272198277025488,1.5879072777319,1.58638227457813,1.55035337844071,0.0958235436598309,0.0976224839100452,0.100191805618066,1.40009313215863,1.77572142330517,1.39504220611444,1.77772234304182,1.3539774394293,1.74672931745212,0.0739830674911598,0.0758365011772616,0.0755857189345909,1.44290046544923,1.73291409001458,1.4377427322707,1.73502181688556,1.40220536932892,1.69850138755251,0.0696254705509898,0.0679926043305854,0.072535061560241,1.45144135545196,1.72437320001184,1.45311677009018,1.71964777906608,1.40818465778264,1.69252209909879,0.100743855717035,0.105888780645975,0.106391167637019,1.39044932052651,1.78536523493729,1.37884026451202,1.79392428464424,1.34182668987216,1.75888006700927
2000,31,19,0.00248016932304431,0.00248016932304431,0.00248016932304431,1.59967849143913,1.58630873976659,1.53344322234911,0.0961795365462405,0.0976865527186024,0.100391261934505,1.4111665998085,1.78819038306976,1.39484309643813,1.77777438309506,1.33667634895748,1.73021009574074,0.07461135744305,0.0760618335795812,0.0758586284349213,1.45344023085076,1.74591675202751,1.43722754595062,1.73538993358257,1.38476031061667,1.68212613408156,0.0670824337699003,0.0680269172744638,0.06836688526492,1.46819692125013,1.73116006162814,1.45297598190865,1.71964149762454,1.39944412722987,1.66744231746836,0.0994764776646892,0.106474941554253,0.106578632691661,1.40470459521634,1.79465238766192,1.37761785432026,1.79499962521293,1.32454910227346,1.74233734242477
