"n","B","j","relax_lambda","proj_lambda","delta_lambda","psi_relax","psi_proj","psi_delta","se_relax_np","se_proj_np","se_delta_np","lower_relax_np","upper_relax_np","lower_proj_np","upper_proj_np","lower_delta_np","upper_delta_np","s0","s0.1","s0.2","s0.3","s0.4","s0.5","s0.6","s0.7","s0.8","lambda.min","lambda.min.1","lambda.min.2","lambda.min.3","lambda.min.4","lambda.min.5","lambda.min.6","lambda.min.7","lambda.min.8","se_relax_delta","se_proj_delta","se_delta_delta","lower_relax_delta","upper_relax_delta","lower_proj_delta","upper_proj_delta","lower_delta_delta","upper_delta_delta"
500,1,1,0.0559845639811496,0.0559845639811496,0.0559845639811496,1.65711810123868,1.56159125684571,1.63732004710774,0.110774472431698,0.113053453629316,0.113096761402871,1.44000013527255,1.87423606720481,1.34000648773225,1.78317602595917,1.41565039475811,1.85898969945736,0.0851174604253147,0.0883825912094075,0.087919882134937,1.49028787880507,1.8239483236723,1.38836137807528,1.73482113561615,1.46499707812326,1.80964301609221,0.0818526811941606,0.0868137754217405,0.0851351763599222,1.49668684609813,1.81754935637924,1.3914362570191,1.73174625667233,1.47045510144229,1.80418499277318,0.0762700747251229,0.0753060532749366,0.0755930300539211,1.50762875477744,1.80660744769992,1.41399139242684,1.70919112126459,1.48915770820205,1.78548238601342
500,1,2,0.0534399791450921,0.0534399791450921,0.0534399791450921,1.65717646045109,1.56146314256445,1.63652125299753,0.110743429689609,0.113048906063984,0.113096856483703,1.44011933825946,1.87423358264273,1.33988728667904,1.78303899844986,1.41485141428947,1.85819109170559,0.0851057769550373,0.0884308398230594,0.0879753406605061,1.49036913761922,1.82398378328296,1.38813869651125,1.73478758861764,1.46408958530294,1.80895292069212,0.0813621279243189,0.0862076666121396,0.0817173668867529,1.49770668971943,1.81664623118276,1.39249611600465,1.73043016912424,1.4763552138995,1.79668729209557,0.0762596891322316,0.0753287808724405,0.0756180827686426,1.50770746975192,1.80664545115026,1.41381873205447,1.70910755307443,1.48830981077099,1.78473269522407
500,1,3,0.0510110496169883,0.0510110496169883,0.0510110496169883,1.6566418454656,1.56166339010322,1.62903737479467,0.110519435307996,0.113049161031331,0.113084339489656,1.44002375226192,1.87325993866927,1.34008703448181,1.78323974572463,1.40739206939495,1.8506826801944,0.084819866675459,0.0885791722184129,0.0881146314827335,1.4903949067817,1.8228887841495,1.38804821255513,1.73527856765131,1.45633269708851,1.80174205250083,0.0818518468009379,0.0866570605469658,0.0863912519910628,1.49621222573576,1.81707146519543,1.39181555143117,1.73151122877527,1.45971052089219,1.79836422869715,0.0773859511355531,0.0762705887075708,0.0764278149707536,1.50496538123991,1.80831830969128,1.41217303623638,1.71115374397006,1.47923885745199,1.77883589213735
500,1,4,0.0486925186845964,0.0486925186845964,0.0486925186845964,1.65260823954613,1.56146953098132,1.62154420834252,0.110493448703327,0.113051000719201,0.113071978417501,1.4360410800876,1.86917539900465,1.33988956957169,1.78304949239095,1.39992313064421,1.84316528604082,0.0855177431791821,0.0894929373394811,0.0890954543159616,1.48499346291493,1.82022301617732,1.38606337379594,1.7368756881667,1.44691711788323,1.7961712988018,0.0820906536837451,0.0873072337368568,0.0861770829728776,1.49171055832599,1.81350592076627,1.39034735285708,1.73259170910556,1.45263712571568,1.79045129096936,0.0781663975357976,0.0766397578696466,0.0767351870234726,1.49940210037596,1.80581437871629,1.41125560555681,1.71168345640583,1.47114324177651,1.77194517490852
500,1,5,0.046479368561359,0.046479368561359,0.046479368561359,1.63526201055293,1.56179405374663,1.61813336813363,0.109930149567203,0.113073044590868,0.113069340485877,1.41979891740121,1.85072510370465,1.34017088634853,1.78341722114473,1.39651746078131,1.83974927548595,0.0853784458138865,0.089656100376459,0.0892704109210578,1.46792025675771,1.80260376434815,1.38606809700877,1.73752001048449,1.44316336272836,1.7931033735389,0.0820914638562361,0.0877969372549956,0.087616403499423,1.47436274139471,1.79616127971115,1.38971205672684,1.73387605076642,1.44640521727476,1.7898615189925,0.0778401816475221,0.0766303608835511,0.0767221906776596,1.48269525452378,1.78782876658207,1.41159854641487,1.71198956107839,1.46775787440542,1.76850886186184
500,1,6,0.0443668095268618,0.0443668095268618,0.0443668095268618,1.63495307552034,1.56186162123777,1.61247911170662,0.109752090546646,0.113079841757792,0.113056839035514,1.41983897804891,1.85006717299177,1.3402251313925,1.78349811108304,1.39088770719701,1.83407051621622,0.0848751929890375,0.089669856865501,0.0893073965792205,1.46859769726183,1.80130845377885,1.38610870178139,1.73761454069415,1.43743661441134,1.78752160900189,0.0811389407523855,0.0874911669771908,0.08722263733885,1.47592075164567,1.79398539939502,1.39037893396247,1.73334430851306,1.44152274252247,1.78343548089076,0.0780671760178134,0.0766411727129294,0.0767278154831791,1.48194141052543,1.78796474051526,1.41164492272043,1.71207831975511,1.46209259335959,1.76286563005365
500,1,7,0.0423502695608755,0.0423502695608755,0.0423502695608755,1.49865624838062,1.56167193623208,1.56320541743953,0.10992383577169,0.113048479157293,0.112941800635574,1.28320553026811,1.71410696649313,1.34009691708379,1.78324695538038,1.3418394881938,1.78457134668525,0.0859992903390109,0.0983893857540666,0.0983952149445573,1.33009763931616,1.66721485744508,1.36882874015411,1.75451513231005,1.37035079614819,1.75606003873086,0.0772527714792107,0.0966066464163849,0.0968464184660936,1.34724081628137,1.65007168047987,1.37232290925597,1.7510209632082,1.37338643724598,1.75302439763307,0.0866791479144262,0.0797549688321259,0.079712942022303,1.32876511846834,1.66854737829289,1.40535219732112,1.71799167514305,1.40696805107581,1.71944278380324
500,1,8,0.0404253844485463,0.0404253844485463,0.0404253844485463,1.49477694479218,1.56160189259976,1.56223564534146,0.109832004782583,0.113045489358875,0.112938104569524,1.27950621541832,1.71004767416604,1.34003273345636,1.78317105174315,1.3408769603852,1.78359433029773,0.0860127419295752,0.0984090074130266,0.0984149762633251,1.32619197061021,1.66336191897415,1.36872023807023,1.75448354712929,1.36934229186535,1.75512899881758,0.0730779700555763,0.0968259416595935,0.0968510893408333,1.35154412348325,1.63800976610111,1.37182304694696,1.75138073825256,1.37240751023343,1.7520637804495,0.0866937195508098,0.0797721899325242,0.0797348565937868,1.32485725447259,1.66469663511177,1.40524840033201,1.71795538486751,1.40595532641764,1.71851596426528
500,1,9,0.0385879883353212,0.0385879883353212,0.0385879883353212,1.50118552697865,1.56140616465885,1.56796289629019,0.110186451307301,0.113037974075571,0.112941634207821,1.28522008241634,1.71715097154096,1.33985173547073,1.78296059384697,1.34659729324287,1.78932849933752,0.0860817482180958,0.0984517962755261,0.0984611747390387,1.33246530047119,1.66990575348612,1.36844064395882,1.75437168535888,1.37497899380168,1.76094679877871,0.0766097322058213,0.0972709246901658,0.0972848764699234,1.35103045185524,1.65134060210206,1.37075515226613,1.75205717705158,1.37728453840914,1.75864125417124,0.0874881167894711,0.0799771365687608,0.0798995656221525,1.32970881807129,1.67266223588602,1.40465097698408,1.71816135233362,1.41135974767078,1.72456604490961
500,1,10,0.0368341047111657,0.0368341047111657,0.0368341047111657,1.4957397308105,1.56145568309697,1.56820269186748,0.110161961443172,0.113042374375454,0.112940899104217,1.27982228638188,1.71165717523912,1.33989262932108,1.78301873687286,1.34683852962321,1.78956685411174,0.08591564506665,0.0984993326321782,0.0985018832161676,1.32734506647986,1.66413439514113,1.3683969911379,1.75451437505604,1.37513900076379,1.76126638297117,0.0752040012681214,0.0970135030781902,0.0966211203849296,1.34833988832498,1.64313957329602,1.37130921706371,1.75160214913022,1.37882529591302,1.75758008782194,0.08746988761468,0.0799396743289201,0.0798591828257561,1.32429875108573,1.66718071053527,1.40477392141228,1.71813744478165,1.411678693529,1.72472669020596
500,1,11,0.0351599378045636,0.0351599378045636,0.0351599378045636,1.49777289036018,1.561284849502,1.56742166659931,0.110148817184606,0.113037376969047,0.112936338178525,1.28188120867835,1.71366457204201,1.33973159064267,1.78283810836133,1.3460664437694,1.78877688942922,0.0862441369570016,0.0985703068377898,0.0985691468440047,1.32873438192446,1.6668113987959,1.36808704809993,1.75448265090407,1.37422613878506,1.76061719441356,0.0770863325956129,0.09700440596899,0.0973085029759958,1.34668367847278,1.64886210224758,1.37115621380278,1.75141348520122,1.37669700076636,1.75814633243226,0.0873729270983449,0.0800867218070241,0.0800090116295565,1.32652195324742,1.66902382747294,1.40431487476023,1.71825482424377,1.41060400380538,1.72423932939324
500,1,12,0.0335618643676723,0.0335618643676723,0.0335618643676723,1.49910377960316,1.56137616631333,1.57886749288349,0.110167677387452,0.113037178753916,0.112963282963541,1.28317513192375,1.71503242728257,1.33982329595565,1.78292903667101,1.35745945827495,1.80027552749203,0.0863133036125783,0.0985787630083791,0.0985737349108573,1.32992970452251,1.66827785468381,1.36816179081691,1.75459054180975,1.38566297245821,1.77207201330877,0.0710664091298792,0.094201173696785,0.0973074675656504,1.3598136177086,1.63839394149772,1.37674186586763,1.74601046675903,1.38814485645481,1.76959012931216,0.0872901693434279,0.0803349367886555,0.0802476352057377,1.32801504769004,1.67019251151628,1.40391969020756,1.71883264241909,1.42158212788024,1.73615285788674
