"n","B","j","relax_lambda","proj_lambda","delta_lambda","psi_relax","psi_proj","psi_delta","se_relax_np","se_proj_np","se_delta_np","lower_relax_np","upper_relax_np","lower_proj_np","upper_proj_np","lower_delta_np","upper_delta_np","s0","s0.1","s0.2","s0.3","s0.4","s0.5","s0.6","s0.7","s0.8","lambda.min","lambda.min.1","lambda.min.2","lambda.min.3","lambda.min.4","lambda.min.5","lambda.min.6","lambda.min.7","lambda.min.8","se_relax_delta","se_proj_delta","se_delta_delta","lower_relax_delta","upper_relax_delta","lower_proj_delta","upper_proj_delta","lower_delta_delta","upper_delta_delta"
500,1,1,0.0559845639811496,0.0559845639811496,0.0559845639811496,1.65711810123868,1.56159125684571,1.63732004710774,0.110774472431698,0.113053453629316,0.113096761402871,1.44000013527255,1.87423606720481,1.34000648773225,1.78317602595917,1.41565039475811,1.85898969945736,0.0851174604253147,0.0883825912094075,0.087919882134937,1.49028787880507,1.8239483236723,1.38836137807528,1.73482113561615,1.46499707812326,1.80964301609221,0.0818526811941606,0.0865870493325923,0.0864500276547308,1.49668684609813,1.81754935637924,1.39188064015383,1.73130187353759,1.46787799290446,1.80676210131101,0.0762700747251229,0.0753060532749366,0.0755930300539211,1.50762875477744,1.80660744769992,1.41399139242684,1.70919112126459,1.48915770820205,1.78548238601342
500,1,2,0.0368341047111657,0.0368341047111657,0.0368341047111657,1.49943976474174,1.56171772404021,1.56691288199915,0.109895404368258,0.113049495451589,0.11295161903092,1.28404477217995,1.71483475730353,1.34014071295509,1.78329473512532,1.34552770869855,1.78829805529976,0.0862578032276711,0.0983761370298729,0.0983814081728073,1.3303744704155,1.66850505906797,1.36890049546166,1.75453495261876,1.37408532198045,1.75974044201786,0.0769820882956267,0.0968202765530556,0.0968455807639004,1.34855487168231,1.65032465780117,1.37194998199622,1.7514854660842,1.37709554370191,1.7567302202964,0.0862958814428477,0.0797364098712876,0.0796737128285095,1.33029983711376,1.66857969236972,1.40543436069248,1.71800108738793,1.41075240485528,1.72307335914303
500,2,1,0.0313698615058525,0.0313698615058525,0.0313698615058525,1.39301751989373,1.40690132541873,1.42184794955207,0.105132957051784,0.106957161159555,0.106873419642375,1.18695692407223,1.59907811571522,1.197265289546,1.61653736129145,1.21237604705302,1.63131985205113,0.0853382411090183,0.0932518971260039,0.0933082206179521,1.22575456732005,1.5602804724674,1.22412760705176,1.58967504378569,1.23896383714089,1.60473206196326,0.0710075564387015,0.0800546853221321,0.0800899922503672,1.25384270927387,1.53219233051358,1.24999414218735,1.5638085086501,1.26487156474135,1.57882433436279,0.0825719387298219,0.0797764402081896,0.0797078071099976,1.23117651998327,1.55485851980418,1.25053950261067,1.56326314822678,1.26562064761648,1.57807525148767
500,2,2,0.0206392741376069,0.0206392741376069,0.0206392741376069,1.38868627236646,1.40789060672438,1.40941738198104,0.10436246598114,0.107003764354662,0.106895789104335,1.18413583904342,1.59323670568949,1.19816322858924,1.61761798485952,1.19990163533654,1.61893312862554,0.0840135731311243,0.0940716372362286,0.0940333526600518,1.22401966902945,1.55335287570346,1.22351019774137,1.59227101570739,1.22511201076734,1.59372275319474,0.0707099783068044,0.0800702705018488,0.0801469867567046,1.25009471488512,1.52727782984779,1.25095287654076,1.56482833690801,1.2523292879379,1.56650547602418,0.0854010187703646,0.0807070800371029,0.0807064542854507,1.22130027557654,1.55607226915637,1.24970472985166,1.5660764835971,1.25123273158156,1.56760203238052
500,3,1,0.0526352933600349,0.0526352933600349,0.0526352933600349,1.6084688118545,1.53082797669119,1.59962310249196,0.108841383371613,0.110627572979849,0.110692812145434,1.39513970044614,1.82179792326286,1.31399793365069,1.7476580197317,1.38266519068691,1.81658101429702,0.0720873371378056,0.0773919967033745,0.0757702564185351,1.4671776310644,1.7497599926446,1.37913966315258,1.6825162902298,1.45111339991164,1.74813280507229,0.0606488350522158,0.065640090837802,0.0642747168788733,1.48959709515216,1.72734052855685,1.4021733986491,1.65948255473328,1.47364465740937,1.72560154757456,0.0735724448237317,0.0727721614762238,0.0732790760485581,1.46426681999999,1.75267080370902,1.38819454019779,1.67346141318459,1.45599611343679,1.74325009154714
500,3,2,0.0346305082911649,0.0346305082911649,0.0346305082911649,1.6256721789359,1.53046164556803,1.63243118415221,0.108381900327863,0.110633628982508,0.110816823882594,1.41324365429329,1.83810070357852,1.31361973276232,1.74730355837375,1.41523020934233,1.8496321589621,0.0718488661667707,0.0794493782681363,0.0773832572157962,1.48484840124903,1.76649595662278,1.37474086416249,1.68618242697358,1.48076000000925,1.78410236829517,0.0580014182241983,0.060845660864346,0.0577583360497133,1.51198939921648,1.73935495865533,1.41120415027392,1.64971914086215,1.51922484549478,1.74563752280965,0.0777162011070405,0.0760288348608953,0.0768672882350881,1.47334842476611,1.7779959331057,1.38144512924068,1.67947816189539,1.48177129921144,1.78309106909299
500,4,1,0.0318939859741393,0.0318939859741393,0.0318939859741393,1.46675437275449,1.48205257404534,1.46684802898286,0.114946539899333,0.115850414554613,0.115706848343179,1.2414591545518,1.69204959095719,1.2549857615183,1.70911938657238,1.24006260623022,1.69363345173549,0.0918697674287255,0.101202419155133,0.100348767020498,1.28668962859419,1.64681911691479,1.28369583250128,1.6804093155894,1.27016444562268,1.66353161234303,0.0779851182740497,0.0905635883514747,0.0965987082125666,1.31390354093735,1.61960520457163,1.30454794087645,1.65955720721423,1.27751456088622,1.65618149707949,0.0862917026930076,0.0805451082051505,0.080854286241237,1.2976226354762,1.63588611003279,1.32418416196324,1.63992098612743,1.30837362795003,1.62532243001568
500,4,2,0.0209841130391487,0.0209841130391487,0.0209841130391487,1.45260112799536,1.48280778053784,1.50748994904,0.111844201821384,0.115898149547322,0.115774928217875,1.23338649242545,1.67181576356527,1.25564740742509,1.70996815365059,1.28057108973296,1.73440880834703,0.0881348888611031,0.102049292907803,0.101523271245902,1.2798567458276,1.62534551016312,1.28279116643855,1.68282439463713,1.30850433739803,1.70647556068196,0.0754235006508115,0.0932754848613786,0.0908945783707495,1.30477106671977,1.60043118927095,1.29998783020954,1.66562773086614,1.32933657543333,1.68564332264666,0.0881090163762585,0.0807723297634916,0.0808685005947321,1.27990745589789,1.62529480009283,1.3244940142014,1.64112154687428,1.34898768787432,1.66599221020567
500,5,1,0.037873771884387,0.037873771884387,0.037873771884387,1.59987632075435,1.5246826538321,1.5759517943787,0.111668333829116,0.114342106899924,0.114287277828417,1.38100638644928,1.81874625505941,1.30057212430825,1.74879318335595,1.351948729835,1.7999548589224,0.0867973449283233,0.091503645393132,0.0907772899943587,1.42975352469483,1.76999911681386,1.34533550886156,1.70402979880264,1.39802830598976,1.75387528276764,0.081418406853552,0.0874235725873035,0.0891785040612856,1.44029624332139,1.75945639818731,1.35333245156098,1.69603285610321,1.40116192641858,1.75074166233882,0.0757848439492878,0.0752432634121869,0.075211795149537,1.45133802661374,1.74841461489495,1.37720585754421,1.67215945011998,1.42853667588561,1.72336691287179
500,5,2,0.0249184128658399,0.0249184128658399,0.0249184128658399,1.45828524985789,1.52484711784753,1.53623095120836,0.110223331130712,0.114276232725968,0.114213427909271,1.24224752084169,1.67432297887409,1.30086570170464,1.74882853399043,1.31237263250619,1.76008926991053,0.0908713612649987,0.102396267090836,0.102625258179154,1.28017738177849,1.63639311793729,1.32415043434949,1.72554380134557,1.33508544517722,1.7373764572395,0.0864952215208301,0.0978613146925943,0.0945329719220911,1.28875461567706,1.62781588403872,1.33303894105005,1.71665529464502,1.35094632624106,1.72151557617566,0.0868850384043996,0.0818144724121949,0.0816817077804339,1.28799057458527,1.62857992513051,1.36449075191963,1.68520348377544,1.37613480395871,1.69632709845801
