"n","B","j","delta_lambda","kappa_IM","psi_delta","se_delta","lower_delta","upper_delta"
500,58,1,0.0665072358053346,171107.834960347,1.7427199615877,0.0945516078964564,1.55739881011064,1.92804111306475
500,59,1,0.0512183625352046,17272932.1203426,1.92222846229479,0.0891966851374318,1.74740295942543,2.09705396516416
500,60,1,0.0406173714526216,1.028773339403e+23,1.7970715937093,0.103591667135503,1.59403192612371,2.00011126129488
500,61,1,0.0638191952822046,60622656.7918246,1.60426442645271,0.101635438060466,1.4050589678542,1.80346988505123
500,62,1,0.0396353074433461,69405703.7149971,1.45465358373569,0.0904064072200304,1.27745702558443,1.63185014188695
500,63,1,0.0459776110771471,1188819655.45713,1.50800765372608,0.0983973437653466,1.315148859946,1.70086644750616
500,64,1,0.0336491635847092,13925452.87504,1.9668005818267,0.0994704853198506,1.77183843059979,2.16176273305361
500,65,1,0.0506896252826892,9594127.25324388,1.8644665046036,0.0932999117475774,1.68159867757835,2.04733433162885
500,66,1,0.04164187711052,4608901.39524952,1.54841826849122,0.130443590317596,1.29274883146873,1.80408770551371
500,67,1,0.0993868561840717,399624.690103903,1.86109784376529,0.0840938487926519,1.69627390013169,2.02592178739889
500,68,1,0.0307169934928664,1169312445.70387,2.29211477172652,0.0950543902647345,2.10580816680764,2.4784213766454
500,69,1,0.0397677287974901,2384444.79513576,1.3888655132106,0.0835833126193936,1.22504222047658,1.55268880594461
500,70,1,0.0268933162184861,9.85588271092698e+22,1.57457703030016,0.108912159538102,1.36110919760548,1.78804486299484
500,71,1,0.0261505713774079,2.91634758315639e+21,1.39684448630721,0.104379121366865,1.19226140842815,1.60142756418627
500,72,1,0.0252290682131686,1.29884114600031e+21,0.0967384658293524,0.216725375610029,-0.328043270366304,0.521520202025009
500,73,1,0.0387769444146872,1870566504.9214,1.72804129698446,0.0983203707294284,1.53533337035478,1.92074922361414
500,74,1,0.0588821492390124,1421501.67804792,1.66074842869405,0.0756617379665727,1.51245142227957,1.80904543510853
500,75,1,0.0539173819024292,6.30390878073637e+23,1.50705094034255,0.132745531862596,1.24686969789187,1.76723218279324
500,76,1,0.0547734663437323,1993803.38688395,1.3924089401037,0.0907681056857136,1.21450345295971,1.5703144272477
500,77,1,0.0420212039281976,6.23364550065873e+22,1.51838178136047,0.134670931255368,1.25442675609994,1.78233680662099
500,78,1,0.0255842171201233,5286953.91820686,1.88742952077258,0.0929409250781751,1.70526530761936,2.06959373392581
500,79,1,0.0296751327423472,1.42019134268071e+23,1.59131935175722,0.12189662203147,1.35240197257554,1.8302367309389
500,80,1,0.0276841965699852,10025113.4828446,1.94491489483318,0.12299117220531,1.70385219731077,2.18597759235558
500,81,1,0.0469888709351633,4.02095371083203e+22,1.89405920754053,0.0861157663868136,1.72527230542237,2.06284610965868
500,82,1,0.0260300638218562,7.73019908093765e+22,1.63223328111685,0.102332344296118,1.43166188629646,1.83280467593724
500,83,1,0.0263257890628424,1.67371865401899e+22,1.86205187361823,0.100867614888641,1.66435134843649,2.05975239879996
500,84,1,0.0445117118458776,46124606.1876227,1.64171564708455,0.106161195504091,1.43363970389653,1.84979159027257
500,85,1,0.0725026465516332,2395777.24422008,1.61055251971148,0.0812394809841481,1.45132313698255,1.76978190244041
500,86,1,0.040191950388156,2.44032399801774e+23,1.57441843852143,0.0834462213310038,1.41086384471266,1.7379730323302
500,87,1,0.0260240975591916,3.24179650402547e+20,1.60355771630084,0.110098174536626,1.38776529420906,1.81935013839263
500,88,1,0.0517718024194099,259907.430102584,1.74838811565656,0.113328039289944,1.52626515864827,1.97051107266485
500,89,1,0.0272159865959996,2.99800811814113e+23,2.62186806833181,0.177157044877442,2.27464026037202,2.9690958762916
500,90,1,0.0349803284028166,19915964.6459767,1.49245001167354,0.0876799187527828,1.32059737091808,1.66430265242899
500,91,1,0.0465407785497555,747935.166294863,1.53696570785245,0.0885351285083753,1.36343685597603,1.71049455972886
500,92,1,0.0289443447629388,7.07854961411863e+21,1.74948446486451,0.106202793041378,1.54132699050341,1.95764193922561
500,93,1,0.0573329608100141,2544298.37740477,1.75826365783589,0.0898707249134315,1.58211703700556,1.93441027866621
500,94,1,0.0539903112935693,9.30002610072989e+21,2.06848040393289,0.0934341048195612,1.88534955848655,2.25161124937923
500,95,1,0.0534842757557552,21396060.2963014,1.6078060936623,0.223507935456141,1.16973054016826,2.04588164715633
500,96,1,0.0438923640598126,1.71663827757694e+21,1.61596909287145,0.0874701014425607,1.44452769404403,1.78741049169887
500,97,1,0.0532066503944955,4635480.83214305,1.56342684585192,0.208512702339046,1.15474194926739,1.97211174243645
500,98,1,0.0286313589628021,9.68202299874633e+20,1.59623380606864,0.0925407858441901,1.41485386581403,1.77761374632326
500,99,1,0.035402280972537,1.84379238253525e+23,1.71899574535601,0.0908181569729179,1.54099215768909,1.89699933302293
500,100,1,0.0321601287572165,4367115.48884191,1.75409383877134,0.097609042927742,1.56278011463297,1.94540756290972
500,101,1,0.0499699802022116,4044195.43652725,1.73628851648496,0.106830201954383,1.52690132065437,1.94567571231555
500,102,1,0.0434433692271819,93793.8226463706,1.65718792679756,0.103999088005825,1.45334971430614,1.86102613928897
500,103,1,0.0583912410446001,71192.4300597971,1.46404505839606,0.0869715713376381,1.29358077857429,1.63450933821783
500,104,1,0.0590257701519825,17867512.5464613,1.81840313440919,0.0865697029996556,1.64872651652987,1.98807975228852
500,105,1,0.099193111826386,24232.0580570023,1.56881074200025,0.0720953478036702,1.42750386030506,1.71011762369544
500,106,1,0.0389401570008924,17728775.3504917,1.58580060439627,0.126831808882367,1.33721025898683,1.83439094980571
500,107,1,0.0455390546197359,6920556.59450488,1.58591567409032,0.096610522941599,1.39655904912478,1.77527229905585
500,108,1,0.0654582619369534,2.71480375051791e+23,1.40208221084107,0.0890898751828405,1.2274660554827,1.57669836619943
500,109,1,0.0532133992073256,56973806088807063552,1.69679290230039,0.106795479839293,1.48747376181537,1.9061120427854
500,110,1,0.101724316092569,357669.81304157,1.73695290062174,0.083218816314783,1.57384402064476,1.90006178059871
500,111,1,0.04025601294452,1.39306805680073e+20,1.83656210491599,0.09522654949416,1.64991806790744,2.02320614192455
500,112,1,0.0431514257597159,27383108.6443311,1.60874477964211,0.19865656440442,1.21937791340945,1.99811164587477
500,113,1,0.035648014165812,664261903.633418,1.71604797503409,0.133830580680856,1.45374003689961,1.97835591316856
500,114,1,0.0507755866855565,4.15097797267114e+24,1.46095280072995,0.10847274040689,1.24834622953244,1.67355937192746
500,115,1,0.0301829781161212,6436739.85055728,1.84667193070054,0.0952389620701919,1.66000356504296,2.03334029635812
500,116,1,0.0444207474274377,466714.254167974,1.45238012262326,0.0753982487487746,1.30459955507566,1.60016069017086
500,117,1,0.0415016675402421,60097487.4142607,1.52743838132902,0.079997165291772,1.37064393735715,1.68423282530089
500,118,1,0.0490644835396952,1.53704712723698e+23,1.92160270081382,0.0949770327841893,1.73544771655681,2.10775768507083
500,119,1,0.0416592157491182,78996553.9445298,1.54821420472252,0.310636911835729,0.939365857524495,2.15706255192055
500,120,1,0.0576750662810205,1691644.61219447,2.01265707539973,0.13193416815341,1.75406610581905,2.27124804498042
500,121,1,0.0368369904950858,121239090.185552,1.78744363307975,0.133024381469117,1.52671584540028,2.04817142075922
500,122,1,0.0438878291739557,7832666.90041694,1.80077022909778,0.0913927225340035,1.62164049293113,1.97989996526443
500,123,1,0.0553856317393157,11438871.8374801,1.54285054835972,0.0961937010608784,1.35431089428039,1.73139020243904
500,124,1,0.0412265627400321,9926099.99643523,1.50257423646835,0.0911330859486735,1.32395338800895,1.68119508492775
500,125,1,0.054017518811826,120280.010512119,1.78098891434756,0.136471842843499,1.5135041023743,2.04847372632081
500,126,1,0.0371698451086841,64126402.7182139,1.58864329753802,0.0954023419887257,1.40165470724012,1.77563188783592
500,127,1,0.0442952549710665,26134292.7252981,1.71636190972577,0.100951611987328,1.5184967502306,1.91422706922093
500,128,1,0.0271654682924479,1621968.11847153,1.82173597458067,0.0955354359684981,1.63448652008242,2.00898542907893
500,129,1,0.0373838571386443,1.04152216085784e+20,1.66146925522638,0.0924148261973054,1.48033619587967,1.8426023145731
500,130,1,0.0337279294509406,8176504.70322335,1.48284192450793,0.117994036093401,1.25157361376487,1.714110235251
500,131,1,0.0384602708349074,1415021.55193868,1.56133706887929,0.103836675598483,1.35781718470626,1.76485695305231
500,132,1,0.0636763624092673,1589459.10345102,1.53253795254188,0.0840197606042036,1.36785922175764,1.69721668332612
500,133,1,0.0412916863537523,3.39085608481551e+20,1.73998602605995,0.0908219442775254,1.561975015276,1.9179970368439
500,134,1,0.0385776094580495,1.39173841897168e+22,1.65921907004036,0.103280641209929,1.4567890132689,1.86164912681182
500,135,1,0.026471588030578,357398077.911851,1.65856644253764,0.110019189968739,1.44292883019891,1.87420405487637
500,136,1,0.0934582792352197,1.03971766370239e+22,1.67487464450409,0.112154813499605,1.45505121004486,1.89469807896332
500,137,1,0.045714976686525,370283654659508224,1.87883527010921,0.0828697405972331,1.71641057853863,2.04125996167978
500,138,1,0.030787473169535,11475010.1715166,1.97034203160005,0.0861862207120914,1.80141703900435,2.13926702419575
500,139,1,0.051036727941653,1391123.44103271,1.34019008710187,0.0825888357750532,1.17831596898276,1.50206420522097
500,140,1,0.026938952112598,38945166.5376362,1.7275900492326,0.0915358372435385,1.54817980823527,1.90700029022994
500,141,1,0.0360910187465229,11785881.6792189,1.52636307155989,0.122769872522579,1.28573412141564,1.76699202170415
500,142,1,0.0233263959894193,543408968289.599,1.48188922653528,0.0936285854898631,1.29837719897514,1.66540125409541
500,143,1,0.0381668261081449,5650069.41229034,1.76949397940964,0.125595986970146,1.52332584494816,2.01566211387113
500,144,1,0.027029724766172,31870733.9923988,1.68764468947414,0.102325905542356,1.48708591461112,1.88820346433716
500,145,1,0.0757881099975109,539639.507352145,1.68710989942742,0.0915976764701062,1.50757845354602,1.86664134530883
500,146,1,0.0334211273251991,95250131894428778496,1.56966813584691,0.121897446090877,1.3307491415088,1.80858713018503
500,147,1,0.0522509453335605,97938831.170042,1.41829040438541,0.0853170916029357,1.25106890484365,1.58551190392716
500,148,1,0.0515529331024665,3.97721313014154e+21,1.66216355056267,0.0939117701615682,1.478096481046,1.84623062007935
500,149,1,0.0305297425777729,4220036260.59956,1.96672472695606,0.122315035532444,1.72698725731247,2.20646219659966
500,150,1,0.045463368145928,146004469.874137,1.72812785406596,0.0952056227484605,1.54152483347898,1.91473087465295
500,151,1,0.072316339987847,82473.1500852198,1.67212306649995,0.0844816407408324,1.50653905064792,1.83770708235198
500,152,1,0.0409726216040856,1129030.10327159,1.62958516375507,0.114067134413352,1.4060135803049,1.85315674720524
500,153,1,0.0768871728230811,170837.584670188,1.67672013493257,0.0920951498169067,1.49621364129143,1.85722662857371
500,154,1,0.0621031349393446,86318.5937934765,1.71950328075163,0.0802481490643111,1.56221690858558,1.87678965291768
500,155,1,0.0268904664824209,1.37443929511261e+20,1.62959551106846,0.0985490691849957,1.43643933546587,1.82275168667105
500,156,1,0.0535667048774257,19555221.9944132,1.17187587434228,0.0900989925374318,0.995281848968917,1.34846989971565
500,157,1,0.0792905388892137,3111970.85405264,1.77153142412146,0.0932352253849465,1.58879038236697,1.95427246587596
500,158,1,0.0279768215375057,3903318.64306261,1.9659080201395,0.108500017128234,1.75324798656816,2.17856805371084
500,159,1,0.0259972919679172,8.08981628691518e+20,1.70303677065725,0.0981270704239904,1.51070771262623,1.89536582868827
500,160,1,0.0345015810996469,1164840061.18154,1.82929186588928,0.09142807617211,1.65009283659195,2.00849089518662
500,161,1,0.0561370366157038,26015237.6494249,1.42120893660349,0.0790378328479505,1.26629478422151,1.57612308898547
500,162,1,0.0405309047285054,337050988.916712,1.55891352308929,0.088955299503033,1.38456113606334,1.73326591011523
500,163,1,0.0584055517588654,416841.496206716,1.99806948098043,0.100244440034761,1.8015903785123,2.19454858344857
500,164,1,0.0376407920164234,1.6776659827654e+23,1.40237627893258,0.0894467065296485,1.22706073413446,1.57769182373069
500,165,1,0.0763386120098137,42763.027419048,1.52651291546695,0.0885293714134212,1.35299534749664,1.70003048343725
500,166,1,0.035221280214055,1.80187354154757e+22,2.19668543150302,0.126946046756478,1.94787117986032,2.44549968314572
500,167,1,0.0329457520155896,1.84500347091662e+21,1.52313510152099,0.0842055487813629,1.35809222590951,1.68817797713246
